0,1,2,3,4,5,6,7,8,9,10,11,12
Pšenice potravinářská [t],4802.0,4814.0,4685.0,4706.0,4533.0,4498.0,4604.0,4777.0,4793.0,4956.0,5010.0,5081.0
Pšenice krmná [t],4301.0,4182.0,4114.0,4031.0,3956.0,3984.0,4171.0,4273.0,4311.0,4447.0,4478.0,4515.0
Ječmen sladovnický [t],6324.0,6352.0,6227.0,6328.0,6297.0,5947.0,6360.0,5223.0,5456.0,5497.0,5668.0,5519.0
Ječmen potravinářský [t],6173.0,i.d.,5525.0,5623.0,5787.0,5839.0,6133.0,5275.0,5553.0,5626.0,5733.0,i.d.
Ječmen krmný [t],3725.0,3665.0,3610.0,3426.0,3558.0,3531.0,3558.0,3686.0,3842.0,3868.0,3892.0,3931.0
Žito potravinářské [t],4189.0,4869.0,4921.0,4629.0,i.d.,4800.0,4950.0,4339.0,4518.0,4456.0,4406.0,4545.0
Tritikale [t],3775.0,3757.0,4066.0,4369.0,3973.0,3875.0,3799.0,3509.0,4048.0,3976.0,4134.0,3675.0
Oves potravinářský [t],7130.0,7395.0,7833.0,7994.0,8133.0,.,.,.,8116.0,7987.0,8678.0,8097.0
Oves krmný [t],4797.0,4728.0,4775.0,5056.0,4875.0,5133.0,5187.0,5184.0,4452.0,4608.0,4572.0,4716.0
Kukuřice krmná [t],4230.0,4202.0,4351.0,4175.0,4433.0,4572.0,4521.0,4534.0,5001.0,4962.0,4906.0,4880.0
